Country,1970,1975,1980,1985,1990,1995,2000,2005,2010
Afghanistan,1.08,1.48,1.96,2.49,2.91,3.28,3.50,3.61,3.65
Albania,1.67,1.93,2.12,2.66,3.00,3.17,3.51,2.35,0.93
Algeria,0.18,0.38,0.77,1.34,1.97,2.53,3.40,3.78,6.66
Argentina,2.52,3.64,3.43,4.99,5.77,4.32,3.10,3.09,2.87
Armenia,6.71,7.22,7.78,9.32,10.04,10.47,10.08,11.51,15.03
Australia,10.76,11.60,13.05,13.21,13.90,15.87,13.15,15.63,18.52
Austria,1.45,1.62,1.55,2.47,2.97,5.21,7.06,8.27,9.37
Bahrain,2.06,2.45,3.39,6.28,8.53,9.17,9.08,8.80,7.76
Bangladesh,0.39,0.42,0.54,1.08,1.44,1.97,1.98,2.11,2.28
Barbados,0.57,1.37,2.16,2.46,2.07,1.56,0.66,1.53,2.07
Belgium,5.11,7.41,9.04,11.20,12.98,14.51,14.95,15.82,17.69
Belize,0.55,0.70,0.78,2.16,3.40,3.43,3.33,3.20,3.18
Benin,0.13,0.13,0.14,0.41,0.52,0.81,1.01,1.36,2.01
Bolivia,1.87,2.24,2.82,3.33,3.83,4.67,5.27,7.25,8.43
Botswana,0.28,0.25,0.19,1.09,1.52,1.90,1.73,1.79,2.02
Brazil,1.24,2.30,2.79,2.72,3.03,3.72,3.70,3.73,5.63
Brunei,1.24,2.86,3.65,3.74,3.71,3.91,4.76,5.65,6.51
Bulgaria,4.94,6.25,7.25,8.43,8.11,9.25,9.79,11.76,13.07
Burundi,0.11,0.14,0.19,0.25,0.24,0.24,0.24,0.34,0.54
Cambodia,0.07,0.11,0.13,0.15,0.19,0.24,0.23,0.79,1.32
Cameroon,0.13,0.15,0.18,0.28,0.45,0.64,0.80,1.15,1.64
Canada,9.66,12.73,14.93,8.14,9.93,11.54,13.89,20.47,22.67
Central African Rep.,0.09,0.09,0.36,0.68,0.87,0.81,0.83,0.82,0.83
Chile,2.65,2.73,2.68,4.44,6.23,7.54,8.33,7.43,5.92
China,0.45,0.46,0.48,0.82,1.08,1.97,2.75,2.73,2.71
Colombia,1.86,2.33,4.07,5.54,7.37,8.61,8.66,6.60,18.55
Congo,0.38,0.78,1.09,1.09,1.10,1.14,0.96,0.79,0.64
Costa Rica,1.75,3.62,5.50,7.39,9.71,11.94,12.39,12.56,14.69
Côte d'Ivoire,0.55,0.71,0.83,0.98,0.85,1.63,2.08,2.11,2.13
Croatia,2.19,2.57,2.92,3.42,3.30,4.53,6.29,8.73,11.04
Cuba,1.85,2.42,3.51,3.64,4.40,5.28,5.59,8.32,13.32
Cyprus,1.99,3.38,5.79,8.70,11.57,14.60,15.89,14.51,20.75
Czechia,1.73,2.48,2.71,4.84,5.94,5.47,5.11,5.38,7.59
Dem. Rep. Congo,0.10,0.20,0.26,0.37,0.51,0.65,0.59,0.50,0.46
Denmark,6.01,6.58,7.46,9.33,8.48,10.37,12.31,14.53,14.98
Dominican Rep.,0.46,0.72,1.09,1.53,2.01,2.38,2.78,2.55,2.06
Ecuador,1.09,1.33,3.55,4.56,5.83,6.23,6.98,6.16,5.19
Egypt,1.36,1.30,1.86,1.99,1.87,2.18,4.19,5.29,6.65
El Salvador,1.16,2.34,2.85,4.83,4.40,5.65,6.54,6.39,3.92
Estonia,4.70,5.41,6.17,7.09,7.13,11.41,15.00,16.58,18.87
Eswatini,0.66,1.10,1.63,2.09,1.62,1.35,0.94,0.02,1.64
Fiji,1.36,1.42,1.77,2.15,3.65,4.82,5.75,6.37,7.03
Finland,3.17,4.34,6.37,5.66,5.67,9.49,10.88,11.70,12.35
France,1.46,3.89,3.74,4.86,5.81,7.20,8.44,8.71,10.60
Gabon,0.90,1.66,2.39,3.50,4.10,5.06,5.54,5.73,6.30
Gambia,0.10,0.09,0.27,0.50,0.77,1.01,1.02,0.94,0.91
Germany,1.59,2.74,3.28,3.67,7.56,9.32,10.48,10.89,13.14
Ghana,0.17,0.38,0.57,0.88,1.14,1.39,1.84,1.66,1.44
Greece,3.73,5.26,5.87,8.74,11.33,12.76,12.22,19.30,22.50
Guatemala,0.57,0.73,1.41,1.37,1.53,1.69,1.74,1.54,0.00
Guyana,0.37,0.63,0.77,0.78,0.66,0.47,0.06,0.15,0.24
Haiti,0.22,0.28,0.45,0.40,0.47,0.51,0.55,0.60,0.67
Honduras,0.40,0.44,1.08,1.55,1.75,1.97,2.39,2.46,1.93
Hong Kong,1.36,1.63,3.33,4.11,7.32,9.26,10.28,19.38,15.22
Hungary,4.02,5.13,6.50,7.27,7.48,8.52,9.36,12.57,15.38
Iceland,2.72,3.53,4.62,5.70,6.94,8.54,10.71,14.08,17.89
India,0.62,0.95,1.22,1.74,2.23,3.36,4.01,4.38,4.85
Indonesia,0.17,0.24,0.25,0.81,0.98,1.15,1.21,2.67,3.73
Iran,0.94,1.53,1.90,2.55,4.13,6.36,8.00,9.74,14.66
Iraq,1.11,1.68,2.15,2.98,3.80,4.16,5.34,6.75,8.77
Ireland,3.23,4.42,6.02,8.33,10.61,14.07,16.37,20.47,26.80
Israel,6.75,9.62,10.95,12.77,14.20,16.27,18.34,18.80,20.26
Italy,1.25,1.86,1.92,2.59,3.53,4.50,4.99,5.60,6.84
Jamaica,0.55,0.73,0.75,1.20,1.73,4.40,7.09,7.70,8.37
Japan,3.55,5.66,5.04,10.76,12.48,14.28,16.15,17.88,18.91
Jordan,1.76,2.73,2.91,3.81,3.48,3.62,3.74,3.98,3.80
Kazakhstan,3.94,4.47,4.99,5.92,5.84,7.30,8.42,13.48,14.03
Kenya,0.21,0.42,0.65,0.95,1.29,1.74,2.26,2.84,3.40
Kuwait,1.82,2.54,3.96,6.10,6.10,6.30,5.39,4.18,4.28
Kyrgyzstan,4.42,4.93,5.47,6.54,6.63,6.61,6.81,7.56,9.00
Laos,0.58,0.83,1.15,1.51,1.90,1.80,2.00,2.51,3.30
Latvia,4.80,5.41,6.05,7.20,7.01,8.36,7.73,9.76,12.42
Lesotho,0.05,0.05,0.19,0.29,0.39,0.54,0.62,0.64,0.76
Liberia,0.66,0.87,0.93,1.14,1.44,1.69,2.35,2.41,1.90
Libya,0.35,0.46,1.06,1.31,1.75,2.26,6.18,8.27,11.89
Lithuania,3.88,4.56,5.39,6.67,6.41,7.75,8.58,13.51,15.60
Luxembourg,3.34,4.66,5.34,5.96,7.03,8.30,9.35,13.29,18.54
Macao,0.71,1.32,1.93,2.71,3.30,4.98,5.61,6.90,10.43
Malawi,0.10,0.15,0.16,0.25,0.23,0.25,0.21,0.18,0.15
Malaysia,0.61,0.66,0.87,1.98,2.32,2.89,3.18,4.45,5.81
Maldives,0.11,0.11,0.18,0.23,0.26,0.25,0.16,0.26,0.25
Mali,0.10,0.14,0.16,0.23,0.27,0.33,0.50,0.68,0.78
Malta,2.62,3.31,3.81,4.40,5.39,6.50,7.40,7.58,10.52
Mauritania,0.23,0.30,0.43,0.57,0.64,0.93,1.17,1.11,0.97
Mauritius,0.36,0.51,0.77,1.11,0.63,0.83,0.89,1.60,1.88
Mexico,1.55,2.41,3.36,3.58,3.87,5.12,6.84,8.41,9.81
Moldova,3.57,4.19,4.78,5.67,5.94,6.17,6.68,6.57,8.76
Mongolia,4.83,7.97,8.63,9.02,8.08,9.20,8.16,15.61,19.66
Morocco,0.17,0.59,0.70,2.21,2.98,3.69,4.07,4.67,5.35
Mozambique,0.05,0.03,0.02,0.07,0.13,0.14,0.20,0.23,0.26
Myanmar,0.18,0.09,0.74,1.07,2.14,2.35,2.94,3.88,5.15
Namibia,0.92,0.97,1.02,1.17,1.29,1.24,1.25,0.94,0.76
Nepal,0.16,0.39,0.60,1.41,2.12,2.10,1.81,1.76,1.75
Netherlands,3.31,4.79,6.19,7.84,9.69,11.38,11.81,13.63,15.63
New Zealand,6.72,9.29,12.47,14.66,16.71,17.39,17.86,18.57,15.50
Nicaragua,5.18,6.02,7.73,8.14,8.16,8.37,9.28,9.32,10.33
Niger,0.10,0.13,0.16,0.23,0.29,0.36,0.42,0.47,0.51
Norway,2.91,3.31,4.38,5.55,7.85,8.81,10.00,11.14,12.16
Pakistan,1.16,1.24,1.48,1.62,1.92,4.11,6.09,4.02,4.43
Panama,2.10,2.98,3.57,4.71,5.91,8.82,12.53,13.51,14.37
Papua New Guinea,0.08,0.17,0.26,0.30,0.36,0.60,0.63,0.60,0.54
Paraguay,1.18,1.37,1.97,2.53,3.36,3.44,3.74,1.51,3.88
Peru,3.05,5.07,6.93,9.71,13.79,15.53,20.54,24.37,12.27
Philippines,7.75,6.14,8.24,7.13,6.73,6.71,6.55,5.94,5.48
Poland,2.74,2.87,2.60,3.52,3.41,5.47,6.16,9.78,11.37
Portugal,0.65,1.06,1.36,2.19,2.88,3.77,4.28,3.04,3.26
Qatar,5.63,5.90,6.49,7.15,7.82,8.37,9.80,10.55,10.05
Romania,2.09,2.23,2.62,3.05,3.33,4.23,4.76,6.31,6.61
Russia,2.36,4.02,6.18,9.81,12.99,13.30,19.31,21.77,24.74
Rwanda,0.08,0.10,0.09,0.10,0.12,0.14,0.22,0.33,0.53
Saudi Arabia,2.56,3.12,3.73,4.71,5.45,6.15,6.91,6.50,6.67
Senegal,0.31,0.43,0.57,0.68,0.74,0.72,0.53,0.29,1.25
Serbia,1.79,2.77,3.21,4.06,4.35,6.10,6.79,8.47,8.97
Sierra Leone,0.16,0.18,0.19,0.33,0.38,0.45,0.55,0.67,1.22
Singapore,1.33,2.03,2.44,2.73,2.60,8.85,13.79,13.70,29.71
Slovakia,1.70,2.41,2.56,3.71,3.95,5.01,4.69,7.27,8.76
Slovenia,1.84,2.86,3.36,4.76,5.45,7.22,7.99,10.68,13.25
South Africa,0.33,0.21,0.16,0.16,0.42,0.53,0.53,0.36,0.32
South Korea,3.16,3.47,4.76,7.18,9.40,12.90,19.08,22.09,30.04
Spain,2.28,3.30,4.59,4.57,4.23,8.01,10.69,13.53,14.96
Sri Lanka,0.63,0.55,0.42,1.56,3.15,5.25,7.65,8.60,8.51
Sudan,0.38,0.41,0.38,0.30,0.38,0.54,0.87,1.24,1.87
Sweden,3.75,6.39,7.88,9.13,10.61,11.60,13.51,14.32,14.93
Switzerland,5.52,5.77,6.07,7.23,8.77,9.83,10.02,12.80,17.88
Syria,0.48,0.91,1.60,2.06,2.36,2.27,1.90,2.33,2.55
Tajikistan,3.55,4.10,4.80,4.97,4.78,4.85,4.10,3.70,3.74
Tanzania,0.14,0.18,0.24,0.30,0.34,0.40,0.37,0.34,0.36
Thailand,0.66,1.41,2.78,3.65,4.86,3.92,4.62,9.02,10.47
Togo,0.06,0.39,0.67,0.76,0.83,0.90,1.05,1.29,1.51
Tonga,0.91,1.05,1.19,1.20,2.47,3.28,4.55,5.69,2.91
Trinidad and Tobago,0.57,1.10,1.59,1.66,1.90,2.65,3.28,4.72,6.48
Tunisia,0.53,0.54,0.93,1.38,2.05,2.48,3.77,5.71,7.38
Turkey,0.74,0.73,1.58,6.24,5.78,5.31,4.91,4.21,5.28
Uganda,0.07,0.11,0.15,0.19,0.19,1.26,1.75,1.56,1.23
Ukraine,3.12,4.40,6.14,9.41,12.36,16.55,20.43,22.33,24.55
United Arab Emirates,2.55,2.50,3.21,4.75,6.42,8.66,9.70,9.01,8.54
United Kingdom,4.42,5.53,5.50,6.22,9.00,11.10,12.83,13.77,15.31
United States of America,11.39,13.30,16.74,18.51,20.71,20.40,22.97,22.39,26.76
Uruguay,1.54,2.13,2.65,3.38,4.22,5.46,4.50,3.67,3.50
Venezuela,1.01,1.77,2.45,2.49,2.43,2.52,2.70,2.97,2.96
Vietnam,0.44,0.50,0.46,0.88,1.02,1.56,2.21,2.99,3.27
Yemen,0.02,0.05,0.07,0.21,0.40,0.72,0.94,1.21,1.50
Zambia,0.20,0.21,0.15,0.16,0.12,0.79,0.77,0.61,0.49
Zimbabwe,1.08,1.29,1.61,2.01,1.83,1.32,0.53,0.44,0.38
